asset,exchange,timestamp,open,high,low,close,volume
TCS,NSE,2026-07-20 05:45:00+00:00,2259.0,2261.7,2255.0,2256.1,57391
TCS,NSE,2026-07-20 06:00:00+00:00,2256.2,2258.5,2251.0,2253.0,60743
TCS,NSE,2026-07-20 06:15:00+00:00,2253.0,2254.7,2247.6,2250.0,72487
TCS,NSE,2026-07-20 06:30:00+00:00,2250.0,2255.0,2246.1,2252.0,96238
TCS,NSE,2026-07-20 06:45:00+00:00,2251.6,2254.4,2245.1,2252.0,66629
TCS,NSE,2026-07-20 07:00:00+00:00,2252.2,2255.0,2248.7,2255.0,74736
TCS,NSE,2026-07-20 07:15:00+00:00,2254.8,2257.9,2253.7,2257.0,64082
TCS,NSE,2026-07-20 07:30:00+00:00,2257.0,2260.0,2255.0,2259.9,55012
TCS,NSE,2026-07-20 07:45:00+00:00,2259.7,2260.0,2253.1,2257.0,54793
TCS,NSE,2026-07-20 08:00:00+00:00,2256.8,2258.0,2253.7,2255.2,42885
TCS,NSE,2026-07-20 08:15:00+00:00,2255.2,2256.9,2252.2,2254.8,63180
TCS,NSE,2026-07-20 08:30:00+00:00,2254.4,2257.2,2252.2,2254.0,61123
TCS,NSE,2026-07-20 08:45:00+00:00,2253.6,2256.5,2252.6,2256.0,29889
TCS,NSE,2026-07-20 09:00:00+00:00,2256.2,2259.0,2253.7,2256.7,63339
TCS,NSE,2026-07-20 09:15:00+00:00,2256.7,2258.5,2255.4,2256.3,36823
TCS,NSE,2026-07-20 09:30:00+00:00,2256.3,2256.8,2248.5,2249.2,194161
TCS,NSE,2026-07-20 09:45:00+00:00,2249.2,2255.9,2245.2,2251.0,232910
TCS,NSE,2026-07-21 03:45:00+00:00,2245.1,2259.9,2241.3,2253.6,246011
TCS,NSE,2026-07-21 04:00:00+00:00,2254.0,2255.0,2242.1,2245.0,121164
TCS,NSE,2026-07-21 04:15:00+00:00,2245.0,2245.5,2233.6,2235.3,133617
TCS,NSE,2026-07-21 04:30:00+00:00,2235.6,2241.4,2234.0,2238.0,67748
TCS,NSE,2026-07-21 04:45:00+00:00,2238.0,2240.7,2227.0,2229.9,123079
TCS,NSE,2026-07-21 05:00:00+00:00,2230.1,2230.4,2225.8,2228.2,82631
TCS,NSE,2026-07-21 05:15:00+00:00,2228.2,2228.7,2225.0,2225.3,75555
TCS,NSE,2026-07-21 05:30:00+00:00,2225.6,2229.4,2224.1,2225.6,79098
TCS,NSE,2026-07-21 05:45:00+00:00,2225.2,2229.0,2223.9,2226.2,75361
TCS,NSE,2026-07-21 06:00:00+00:00,2226.2,2228.7,2223.0,2223.5,48560
TCS,NSE,2026-07-21 06:15:00+00:00,2223.5,2233.0,2223.0,2228.3,170140
